1;Magisk;1;Zowie EC2-A;800;1;1680x1050;9032
2;Xyp9x;1;Zowie FK2;800;1;1680x1050;4954
3;dev1ce / device;1;Zowie EC2-A Red Edition;400;2;1024x768;7592
4;dupreeh;1;Zowie FK2;400;1.8;1280x800;7398
5;gla1ve;1;Zowie EC1-A;400;2.1;1280x960;7412
6;Stewie2k;2;SteelSeries Sensei Raw;450;1.85;1024x768;8797
7;EliGE;2;Logitech G Pro Wireless;1,6;0.74;1680x1050;8738
8;nitr0;2;Zowie EC2-A;400;2.2;1024x768;7687
9;NAF;2;Zowie EC1-B Divina Edition;800;0.7;1280x960;8520
10;Twistzz;2;Zowie EC2-B Divina Edition;400;1.46;1280x960;10394
11;adreN;2;Logitech G Pro Wireless;400;2.25;1600x1080;7433
12;electronic;3;Logitech G703;400;2.2;1280x1024;8918
13;s1mple;3;Zowie FK1+ Divina Edition (unreleased);400;3.09;1280x960;7998
14;flamie;3;Logitech G703 White Edition;800;0.95;1024x768;7594
15;Edward;3;Zowie EC2-B CS:GO Edition;400;1.9;1280x960;483
16;Zeus;3;Zowie FK2;1,6;0.43;1920x1080;484
17;FalleN;4;Zowie EC1-B;400;2.2;1024x768;2023
18;coldzera;4;Zowie ZA12 White Edition;800;1.1;1280x960;9216
19;fer;4;SteelSeries Rival 300 White Edition;400;2.5;1152x864;8564
20;TACO;4;Zowie FK2;400;1.6;1152x864;9217
21;felps;4;Zowie FK1+;400;1.9;1920x1080;9219
22;olofmeister;5;Zowie EC1-A;400;1.7;1024x768;885
23;rain;5;QPAD 8K Optical;450;1.75;1280x800;8183
24;NiKo;5;Zowie EC2-B Divina Edition;400;1.4;1024x768;3741
25;GuardiaN;5;SteelSeries Kinzu V1;400;1.3;1280x800;2757
26;AdreN;5;Logitech G Pro Wireless;400;1.6;1024x768;334
27;dennis;6;Zowie FK1;400;2;1280x960;1146
28;Lekr0;6;QPAD DX-20;800;1;1440x1080;9261
29;f0rest;6;Zowie EC2-A;400;3.5;1280x960;29
30;GeT_RiGhT;6;Zowie EC1-A;400;2.4;1280x960;39
31;REZ;6;Logitech G Pro Wireless;400;2.3;1024x768;9278
32;draken;6;Razer DeathAdder Elite;700;1.18;1280x800;9255
33;AZR;7;SteelSeries Sensei 310;400;2.4;1024x768;8082
34;jks;7;Zowie EC1-A;400;1.9;1024x768;4679
35;jkaem;7;Zowie EC2-A;400;1.4;1024x768;8248
36;Liazz;7;Zowie FK1+;800;1.04;1280x960;10588
37;Gratisfaction;7;Zowie EC2-B CS:GO Edition;800;1.19;1920x1080;9686
38;allu;8;Zowie EC1-B;400;3.3;1280x800;695
39;sergej;8;Logitech G Pro Wireless;1,6;0.35;1280x960;11916
40;Aerial;8;Zowie EC2-A;400;1.89;1024x768;4076
41;Aleksib;8;Logitech G Pro Wireless;800;0.95;1680x1080;9816
42;xseveN;8;Logitech G Pro Wireless;800;0.95;1024x768;7248
43;tarik;9;Logitech MX518 Legendary;800;1.1;1024x768;8523
44;FugLy;9;Logitech G Pro Wireless;450;1.7;1024x768;8522
45;Brehze;9;Zowie EC2-B;400;2.3;1024x768;9136
46;daps;9;Zowie EC1-B Divina Edition;400;1.7;1280x720;8521
47;Ethan;9;Logitech G Pro Wireless;400;1.8;1024x768;10671
48;CeRq;9;Zowie EC2-A;400;1.9;1024x768;11219
49;Skadoodle;10;Logitech G Pro Wireless;400;2;1024x768;7440
50;autimatic;10;Logitech G Pro Wireless;400;1.85;1024x768;8735
51;kioShiMa;10;Logitech G Pro Wireless;400;2;1280x960;4959
52;RUSH;10;Logitech G Pro Wireless;400;2.4;1024x768;7805
53;Golden;10;Zowie EC2-A;400;2;1024x768;11110
54;Zellsis;10;Razer DeathAdder WoT Edition;400;1.8;1280x800;13188
55;Happy;11;Zowie EC2-A;400;3.2;1280x960;7429
56;NBK;11;Logitech G903;800;1.05;1280x1024;7168
57;apEX;11;Logitech G402;400;1.91;1024x768;7322
58;RpK;11;Logitech G402;400;1.85;1280x1024;7169
59;ALEX;11;Zowie EC1-A;400;2.5;1152x864;8184
60;ZywOo;11;Zowie EC2-A;400;2;1280x960;11893
61;aizy;12;Zowie EC2-A;400;2.2;1024x768;8095
62;Kjaerbye;12;Zowie S2 Divina Edition;400;1.8;1280x1024;8394
63;valde;12;Zowie EC2-B Divina Edition;400;1.65;1280x960;9031
64;cadiaN;12;SteelSeries Rival 300 HB Edition;400;2.5;1280x960;7964
65;gade;12;Zowie EC1-A;400;2.4;1280x960;8875
66;twist;13;Zowie FK1;400;1.8;1024x768;7443
67;JW;13;Zowie EC2-A White Edition;400;2.1;1024x768;3849
68;KRiMZ;13;Zowie EC1-A White Edition;400;1.7;1280x960;7528
69;Xizt;13;Zowie EC2-A;400;3;1024x768;884
70;Brollan;13;Zowie EC2-A White Edition;800;1.3;1280x1024;13666
71;karrigan;14;Logitech G Pro Wireless;800;0.8;1024x768;429
72;STYKO;14;Razer DeathAdder Elite;400;1.8;1280x960;6904
73;chrisJ;14;Dream Machines DM2;800;1.19;1280x1024;2730
74;ropz;14;Zowie EC2-A;400;1.77;1920x1080;11816
75;suNny;14;Zowie S2 Divina Edition;400;2.2;1024x768;5479
76;woxic;14;SteelSeries Sensei Raw;1,6;1.5;1280x960;8574
77;Frozen;14;Zowie EC2-A;400;2;1024x768;9960
78;XANTARES;15;Zowie FK1;400;2;1024x768;7938
79;tabseN;15;Logitech G Pro Wireless;400;1.6;1920x1080;5794
80;LEGIJA;15;Logitech G403 Wireless;800;1;1024x768;3252
81;keev;15;Zowie EC2-A White Edition;400;2.8;1024x768;5799
82;gob b;15;Logitech G Pro Wireless;800;1;1280x960;136
83;nex;15;Logitech G Pro Wireless;400;2;1024x768;7256
84;smooya;15;Razer DeathAdder Chroma;400;1.6;1024x768;11271
85;tizian;15;QPAD DX-20;400;2.35;1024x768;5796
86;kennyS;16;Logitech MX518 Legendary;400;2.2;1024x768;7167
87;shox;16;Zowie FK1;400;2.25;1280x960;1225
88;bodyy;16;Logitech G Pro Wireless;400;2.4;1280x960;8374
89;AmaNEk;16;Zowie EC2-A White Edition;400;2.2;1440x1080;9616
90;SmithZz;16;Logitech G403 Wireless;400;2.5;1024x768;7170
91;Lucky;16;Zowie FK1+;400;2;1280x960;13497
92;JACKZ;16;Logitech MX518 Legendary;400;2.4;1024x768;284
93;fitch;17;Zowie EC2-A;400;1.5;1680x1050;10052
94;Buster;17;Zowie ZA12;400;2.2;1280x960;11942
95;Jame;17;Zowie EC2-A;1,6;0.62;1024x768;13776
96;qikert;17;Zowie ZA12;400;2.7;1280x960;13239
97;krizzen;17;Zowie EC2-A;400;2.2;1280x800;12161
98;koosta;18;FinalMouse Classic Ergo 2;400;2.4;1024x768;9056
99;steel;18;Logitech G Pro Wireless;800;1;1280x800;7382
100;Freakazoid;18;Zowie EC2-B Divina Edition;800;0.85;1280x960;7808
101;wardell;18;Razer DeathAdder Elite;400;2.5;1024x768;11264
102;Subroza;18;Zowie FK2;800;0.87;1024x768;11231
103;neptune;18;Logitech G403;650;1.3;1280x960;12101
104;HObbit;19;Zowie FK2;800;1.5;1680x1050;8528
105;ANGE1;19;Zowie ZA12;400;1.7;1280x960;339
106;DeadFox;19;Razer DeathAdder Elite;400;2.5;1024x768;8716
107;ISSAA;19;Zowie ZA13;400;2.8;1024x768;10449
108;nexa;20;Zowie EC2-A;800;1;1024x768;9618
109;EspiranTo;20;Logitech G Pro Wireless;400;3.06;1024x768;12030
110;huNter;20;Zowie EC2-B Divina Edition;400;2;1024x768;3972
111;ottoNd;20;Logitech G Pro Wireless;400;2.1;1024x768;11283
112;LETN1;20;Zowie EC2-B;400;1.65;1024x768;4216
113;WorldEdit;21;Logitech G703;400;1.84;1600x900;7403
114;wayLander;21;Razer DeathAdder Elite;400;1.3;1920x1080;7796
115;Kvik;21;Zowie EC2-A;400;3.07;1024x768;8459
116;Boombl4;21;Zowie EC1-A;400;1.34;1024x768;11840
117;n0rb3r7;21;Zowie EC2-B;800;0.9;1280x720;16612
118;somebody;22;Zowie EC2-A;400;3;1280x960;8605
119;BnTeT;22;SteelSeries Sensei Raw;810;1.1;1024x768;7131
120;xccurate;22;Zowie FK2 White Edition;800;1;1024x768;10263
121;Attacker;22;Zowie FK2;400;2.2;1024x768;8552
122;Summer;22;Zowie FK2;400;3;1280x960;7028
123;kscerato;23;Logitech G Pro Wireless;600;2.6;1024x768;15631
124;arT;23;Zowie FK1+;400;3;1280x960;12521
125;yuurih;23;Zowie EC1-B Divina Edition;400;2.2;1024x768;12553
126;VINI;23;FinalMouse Air58 Ninja CBB Edition;1,6;0.47;1920x1080;12822
127;ableJ;23;Zowie EC1-B Divina Edition;800;0.9;1280x960;16770
128;friberg;24;Zowie EC2-B;800;1.1;1280x960;7148
129;MODDII;24;Zowie EC1-A;400;2.2;800x600;545
130;es3tag;24;Zowie ZA12;800;1.44;1280x960;8611
131;AcilioN;24;Zowie EC2-A White Edition;400;2.2;1680x1050;8151
132;mertz;24;Zowie FK1;400;2.4;1024x768;9895
133;blameF;24;SteelSeries Rival 310;400;1.45;1280x960;15165
134;kaze;25;Zowie EC1-A;1,6;0.4;1280x960;8950
135;freeman;25;Zowie FK1+;400;2.2;1024x768;10774
136;COLDYY1;26;Zowie EC1-A;400;1.75;1024x768;9083
137;S0TF1k;26;Zowie EC2-A;800;0.95;1280x960;9081
138;somedieyoung;26;Zowie EC2-B;800;1;1280x1024;12731
