1;Astralis;6665
2;Team Liquid;5973
3;Natus Vincere;4608
4;MIBR;9215
5;FaZe Clan;6667
6;Ninjas in Pyjamas;4411
7;Renegades;6211
8;ENCE;4869
9;NRG Esports;6673
10;Cloud9;5752
11;Team Vitality;9565
12;North;7533
13;Fnatic;4991
14;mousesports;4494
15;BIG;7532
16;G2 Esports;5995
17;Avangar;8120
18;Ghost Gaming;7801
19;HellRaisers;5310
20;Valiance;8481
21;Winstrike;9183
22;Tyloo;4863
23;FURIA;8297
24;Heroic;7175
25;ViCi Gaming;7606
26;Team Spirit;7020
27;Grayhound;8008
28;compLexity Gaming;5005
29;OpTic Gaming;6615
30;Uruguay;9855
31;Sprout;8637
32;3DMAX;4914
33;INTZ Esport;6619
34;Vega Squadron;6094
35;Luminosity Gaming;6290
36;NoChance;9722
37;MVP PK;7354
38;x6tence Galaxy;9481
39;Windigo;8513
40;Swole Patrol;7726
41;Gambit Esports;6651
42;AGO Gaming;8068
43;Movistar Riders;7718
44;eUnited;7106
45;Team EnVyUs;5991
46;Aristocracy;10020
47;Virtus.pro;5378
48;Team One;6947
49;Ancient;6685
50;Chaos;9085
51;Team LDLC;4674
52;Nordavind;8769
53;Tricked;4602
54;Mythic;5479
55;Nemiga;7969
56;Ex-Space Soldiers;9572
57;Rogue;7157
58;Imperial E-Sports;9455
59;Runtime.gg;9793
60;ICON;9866
61;Giants Gaming;4949
62;Vexed Gaming;8020
63;paiN Gaming;4773
64;W7M;8574
65;5balls;8589
66;Team Dignitas;5422
67;streamer;0
68;Streamer;0
69;free agent;0
70;retired;0
